Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_802a920,FUN_0802a920,,,,,,,,,0802a920,IS_BIT_SET,0802a920,IS_BIT_SET,0802a920,IS_BIT_SET,/opt/symgrate2-archive/KeilPacks/MediaTek.MTx.3.1.0.pack/middleware/MTK/camera/lib/libdrv_idp.a
,,sub_802ab70,FUN_0802ab70,,,,,,,,,0802ab70,OSMboxPostOpt,0802ab70,OSMboxPostOpt,0802ab70,OSMboxPostOpt,/opt/symgrate2-archive/KeilPacks/EmbeddedOffice.Flexible_Safety_RTOS.1.0.0.pack/Lib/cortex-m4f_gcc/cert-mpu_cortex-m4f_gcc.a
,,sub_802ae48,FUN_0802ae48,,,,,,,,,,,,,,,
,,sub_802af34,,,,,,,,,,,,,,,,
,,sub_802af38,FUN_0802af38,,,,,,,,,,,,,,,
,,sub_802af9c,,,,,,,,,,,,,,,,
,,sub_802afa4,FUN_0802afa4,,,,,,,,,,,,,,,
,,sub_802b1fe,,,,,,,,,,,,,,,,
,,sub_802ba14,,,,,,,,,,,,,,,,
,,sub_802ba1a,,,,,,,,,,,,,,,,
,,sub_802c508,FUN_0802c508,,,,,,,,,,,,,,,
,,sub_802c520,FUN_0802c520,,,,,,,,,,,,,,,
,,sub_802c530,,,,,,,,,,,,,,,,
,,sub_802c5ac,FUN_0802c5ac,,,,,,,,,,,,,,,
,,sub_802c8b6,,,,,,,,,,,,,,,,
0x0802c8d4,f sym.TIM3_IRQHandler,,,0802c8d4,TIM3_IRQHandler,,,,,,,,,,,,,
,,sub_802cc74,FUN_0802cc74,,,,,,,,,,,,,,,
,,sub_802cc88,FUN_0802cc88,,,,,,,,,,,,,,,
,,sub_802cce4,FUN_0802cce4,,,,,,,,,,,,,,,
,,sub_802cd30,FUN_0802cd30,,,,,,,,,,,,,,,
,,sub_802cd58,FUN_0802cd58,,,,,,,,,,,,,,,
,,sub_802cd6c,FUN_0802cd6c,,,,,,,,,,,,,,,
,,sub_802cdf8,FUN_0802cdf8,,,,,,,,,,,,,,,
,,sub_802ce04,FUN_0802ce04,,,,,,,,,,,,,,,
,,sub_802ce18,FUN_0802ce18,,,,,,,,,,,,,,,
,,sub_802ce2c,FUN_0802ce2c,,,,,,,,,,,,,,,
,,sub_802ce38,FUN_0802ce38,,,,,,,,,,,,,,,
,,sub_802ce58,FUN_0802ce58,,,,,,,,,,,,,,,
,,sub_802ce74,FUN_0802ce74,,,,,,,,,,,,,,,
,,sub_802cea4,FUN_0802cea4,,,,,,,,,0802cea4,_ZN11__gnu_debug19_Safe_iterator_base8_M_resetEv,,,,,
,,sub_802ceb0,FUN_0802ceb0,,,,,,,,,,,,,,,
,,sub_802ced0,,,,,,,,,,,,,,,,
,,sub_802cef0,FUN_0802cef0,,,,,,,,,,,,,,,
,,sub_802cf10,FUN_0802cf10,,,,,,,,,,,,,,,
,,sub_802cf30,FUN_0802cf30,,,,,,,,,,,,,,,
,,sub_802cf38,FUN_0802cf38,,,,,,,,,,,,,,,
,,sub_802cf74,FUN_0802cf74,,,,,,,,,,,,,,,
,,sub_802cfa4,FUN_0802cfa4,,,,,,,,,,,,,,,
,,sub_802cfe4,FUN_0802cfe4,,,,,,,,,,,,,,,
,,sub_802d038,FUN_0802d038,,,,,,,,,,,,,,,
,,sub_802d068,FUN_0802d068,,,,,,,,,,,,,,,
,,sub_802d088,FUN_0802d088,,,,,,,,,,,,,,,
,,sub_802d0a8,FUN_0802d0a8,,,,,,,,,,,,,,,
,,sub_802d178,FUN_0802d178,,,,,,,,,,,,,,,
,,sub_802d230,FUN_0802d230,,,,,,,,,,,,,,,
,,sub_802d2d8,FUN_0802d2d8,,,,,,,,,,,,,,,
,,sub_802d3e8,FUN_0802d3e8,,,,,,,,,,,,,,,
,,sub_802d4c8,FUN_0802d4c8,0802d4c8,GPIO_Init,,,,,,,,,,,,,
,,sub_802d564,FUN_0802d564,0802d564,GPIO_SetBits,,,,,,,,,,,,,
,,sub_802d568,FUN_0802d568,0802d568,GPIO_ResetBits,,,,,,,,,,,,,
,,sub_802d56c,FUN_0802d56c,0802d56c,GPIO_PinAFConfig,,,,,,,,,,,,,
,,sub_802d598,FUN_0802d598,0802d598,I2C_DeInit,,,,,,,,,,,,,
,,sub_802d604,FUN_0802d604,0802d604,I2C_Init,,,,,,,,,,,,,
,,sub_802d6d8,FUN_0802d6d8,0802d6d8,I2C_Cmd,,,,,,,,,,,,,
,,sub_802d6f0,FUN_0802d6f0,0802d6f0,I2C_GenerateSTART,,,,,,,,,,,,,
,,sub_802d708,FUN_0802d708,0802d708,I2C_GenerateSTOP,,,,,,,,,,,,,
,,sub_802d720,FUN_0802d720,0802d720,I2C_Send7bitAddress,,,,,,,,,,,,,
,,sub_802d738,FUN_0802d738,0802d738,I2C_AcknowledgeConfig,,,,,,,,,,,,,
